evidence_id,event_date,title,description,url,source_tier,grounding_status,relevant,requires_human_review,review_note,category,subcategory,taxonomy_fit,polarity,affected_barrier,confidence,rationale,supporting_text
ev_9f35f352b90c,September-October 2024,CIVICUS Monitor - Ruby Khan activists arrested and later reach agreement (2024),Human rights defender Ruby Khan and fellow activists protesting for justice were repeatedly arrested/detained in Kathmandu in September-October 2024 before suspending their protest following a three-point agreement with the Ministry of Home Affairs on 29 October 2024.,https://monitor.civicus.org/explore/nepal-activists-and-online-critics-arrested-to-stifle-dissent-as-journalists-remain-at-risk/,registry,supported,True,True,Ambiguous whether the agreement represents a genuine improvement (permissive) or merely a pause in restrictive practice.,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.55,"Repeated arrests/detention of activists protesting for justice indicate restriction on freedom of assembly, though the case ended in a negotiated agreement rather than legal reform.",the group suspended their protest following a three-point agreement with the Ministry of Home Affairs
ev_bf1f2eb63276,21 May 2024,CIVICUS Monitor - Kantipur Media chair Sirohiya arrested (May 2024),"Kailash Sirohiya, chairperson of Kantipur Media Group, was arrested on 21 May 2024 over citizenship document issues; press freedom groups viewed the arrest as retaliation for reporting on the Home Minister.",https://monitor.civicus.org/explore/nepal-human-rights-defenders-media-group-chair-targeted-to-silence-dissent-while-protests-disrupted/,registry,supported,True,True,Snippet does not explicitly link arrest motive to NGO activity; retaliation claim is characterized as 'allegedly'.,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.6,"Arrest of a prominent media figure on unrelated documentation grounds, seen as retaliation for critical reporting, suggests use of legal mechanisms to suppress dissenting voices.","was arrested on 21st May 2024, allegedly over supposed irregularities in the details on his citizenship card"
ev_6a1afafe0919,14 May 2024,CIVICUS Monitor - UN experts on HRD retaliation over Chhaya Center (2024),"UN experts expressed concern on 14 May 2024 over reprisals against human rights defenders opposing the Chhaya Center development in Kathmandu, including intimidation and a contempt of court case against activist Bhagabat Narsingh Pradhan.",https://monitor.civicus.org/explore/nepal-human-rights-defenders-media-group-chair-targeted-to-silence-dissent-while-protests-disrupted/,registry,supported,True,True,Case is project-specific and individual-focused; broader applicability to NGOs generally is not established in the snippet.,reputational_and_political,criminalising_association,partial,restrictive,public_trust_and_proactive_transparency,0.6,Reports of retaliation and a contempt of court case against a defender for civic opposition indicate use of legal/political pressure against association with rights advocacy.,ongoing retaliations against human rights defenders because of their opposition to the development of the Chhaya Center
ev_f147a981c444,July 2025,CIVICUS/AHRC Joint UPR51 Submission on Nepal,"CIVICUS and the Asian Human Rights Commission's July 2025 UN Universal Periodic Review submission found Nepal has not fully implemented any of 11 accepted civic-space recommendations, with seven unaddressed and six partially fulfilled.",https://www.civicus.org/documents/upr-submissions/UPR51-Nepal-CIVICUS-and-AHRC.pdf,supplementary,supported,True,True,Aggregate finding lacks specificity to map to a single taxonomy subcategory; treated as contextual pending detail.,governance,other,outside_current_subcategories,contextual,appeal_and_judicial_review,0.5,General finding that Nepal has not implemented civic-space recommendations is relevant context for ongoing risk but does not identify a specific restrictive measure.,"Nepal has not fully implemented any, with seven entirely unaddressed and six only partially fulfilled"
ev_2c29a3224aff,9 February 2025,CIVICUS Monitor - Social Media Bill introduced (Feb 2025),"On 9 February 2025 the 'Bill on the Operation, Use, and Regulation of Social Media' was introduced in Nepal's National Assembly, proposing registration, penalisation, content moderation, and criminal penalties for online speech.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,True,True,"Bill targets general social media users, not NGOs specifically; potential impact on civil society is inferred rather than explicit.",governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.68,"The bill proposes mandatory registration, penalisation, and criminal penalties for online speech, which could expand state control over civic and public expression, including that of civil society actors.","designed to regulate social media platforms and users through increased registration, penalisation, and content moderation"
ev_46045c8c9af1,February 2025,CIVICUS Monitor - Media Council Bill passed (Feb 2025),"The Media Council Bill, replacing the Press Council with a government-influenced Media Council regulatory body, was passed in February 2025, raising concerns about government control over independent media.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,True,True,Focus is on media regulation rather than NGOs specifically; fit to governance subcategory is partial and inferred.,governance,unchecked_regulator_powers,partial,restrictive,appeal_and_judicial_review,0.62,"A new government-influenced regulatory body replaces an independent press oversight mechanism, raising concerns about unchecked control over media/civil-society expression.","The new Media Council Bill replaces the existing Press Council responsible for upholding the standards of free press with the Media Council, a new regulatory body."
ev_5602c2104d1d,9 May 2025,CIVICUS Monitor - unregistered social media platforms warned (May 2025),"On 9 May 2025 the Ministry of Communication and Information Technology again warned social media platforms to register under the 2023 Directives; major platforms including Facebook, WhatsApp, Instagram and X had not complied.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,True,True,"Directive targets platforms, not NGOs directly; relevance to NGO operational viability is indirect.",governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.55,Mandatory registration requirement for social media platforms under government directive restricts space for online communication that civil society relies on.,"issued a warning to social media platforms to register in Nepal under the Directives for Managing the Use of Social Networks, 2023"
ev_511271258614,Early May 2025,CIVICUS Monitor - civil society coalition statement on digital regulation (May 2025),"In early May 2025, Digital Rights Nepal convened a coalition of 31 civil society organisations, digital rights advocates and media groups issuing recommendations for transparent, inclusive digital platform regulation.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,True,True,Evidence reflects civil society activity rather than a documented restriction/protection; interpretation as contextual only.,reputational_and_political,other,outside_current_subcategories,contextual,public_trust_and_proactive_transparency,0.55,"Shows civil society organisations actively convening and advocating for transparent regulation, indicating continued space for association and advocacy, but not itself a restriction or protection.","Digital Rights Nepal convened a coalition of 31 civil society organisations, digital rights advocates, and media groups"
ev_7aca642e5c5f,January 2025,CIVICUS Monitor - HRW January 2025 report on impunity,"Human Rights Watch said in January 2025 that lack of justice for conflict-era crimes has contributed to a widespread crisis of impunity in Nepal, undermining human rights, governance and rule of law.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,False,False,,,,,,,,,
ev_b2d5ba622b51,March 2025,CIVICUS Monitor - ICJ report on transitional justice pledge (March 2025),"In March 2025 the International Commission of Jurists reported that Nepal's political leaders including PM Oli, together with civil society, pledged to redouble efforts on victim-centred transitional justice mechanisms.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,False,False,,,,,,,,,
ev_d89d09767885,April 2025 (covering 2024),CIVICUS Monitor - Amnesty International April 2025 report on 2024 suppression,"Amnesty International said in April 2025 that the Nepal government suppressed criticism in 2024 through protest restrictions, unlawful force, and forcible dispersal/detention of demonstrators, with intensified restrictions on journalists and online critics.",https://monitor.civicus.org/explore/nepal-restrictive-social-media-legislation-targeting-of-journalists-and-excessive-force-at-protests-put-freedoms-at-risk/,registry,supported,True,False,,governance,restricted_freedoms,exact,restrictive,appeal_and_judicial_review,0.75,"Documents government suppression of protest and dissent through unlawful force and detention, restricting freedoms relevant to civil society operating space.","the government suppressed criticism in 2024 by enforcing restrictions on protests, using unlawful force, and forcibly dispersing and detaining demonstrators"
ev_375de3eb0e23,July 2025,Kathmandu Post - NHRC reform bill in limbo (July 2025),"Nepal's government had yet to finalise a new National Human Rights Commission Act eight months after the draft bill was submitted (Sept 2024), despite the reform being a factor in retaining the NHRC's global 'A' accreditation status.",https://kathmandupost.com/national/2025/07/19/nhrc-reform-in-limbo-despite-warnings-from-un-and-rights-bodies,supplementary,supported,True,True,"Indirect relevance; delay in NHRC reform does not directly restrict NGO operations, fit is outside current subcategories.",governance,other,outside_current_subcategories,contextual,appeal_and_judicial_review,0.55,"Prolonged delay in finalising human rights institution reform bill affects institutional oversight capacity, relevant background for governance risk but not a direct restriction on NGOs.",the government has yet to finalise the bill. Officials have no idea when the bill will be finalised and registered in Parliament.
ev_04e2e3804006,6 August 2025,Kathmandu Post - counter-intelligence wing bill (Aug 2025),"A draft bill to replace the Nepal Special Service Act would create a formal counter-intelligence wing empowering the National Investigation Department to collect intelligence and conduct surveillance activities, including on espionage and subversion.",https://kathmandupost.com/national/2025/08/06/counter-intelligence-wing-to-be-set-up-under-new-nepal-law,supplementary,supported,True,True,Bill is broad national-security legislation; direct impact on NGOs is inferred rather than explicit in the snippet.,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.6,"New legal provisions for surveillance, secret missions, and evidence collection expand state monitoring capacity, which could extend to civil society and NGOs, restricting freedoms of association/expression.","The bill lays out legal provisions for surveillance, secret missions, handling informants, evidence collection, interrogation, and verification"
ev_24e37a4f7a51,13 August 2025,Khabarhub - lawmaker warns Intelligence Bill threatens privacy (Aug 2025),"Nepali Congress lawmaker NP Saud warned in Parliament that the government's draft Intelligence Bill would allow control, monitoring and tapping of citizens' phone calls and messages, violating constitutional privacy guarantees.",https://english.khabarhub.com/2025/13/490691/,supplementary,supported,True,True,"Concerns general citizen surveillance, not explicitly targeted at NGOs; fit is partial.",governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.6,"Draft bill would allow government surveillance of communications, a general freedom restriction that could indirectly affect civil society communications, though not NGO-specific.","would allow the government to control, monitor, and tap citizens' phone calls, messages, and other communications"
ev_8db75bc2155e,31 August 2025,Kathmandu Post opinion - Nepal's civil society under siege (Aug 2025),"Opinion piece describes the 2025 draft Social Organisation/NGO bill as the third attempt to regulate civil society under PM Oli (after 2016 and 2019), introducing expanded reporting obligations, special-audit powers, and geographic/sectoral restrictions.",https://kathmandupost.com/columns/2025/08/31/nepal-s-civil-society-under-siege,supplementary,partially_supported,True,True,Specific restrictive provisions cited in description are not present in the verbatim snippet.,formation,other,outside_current_subcategories,contextual,statutory_deadlines_and_bounded_refusal,0.5,Snippet establishes a historical pattern of repeated attempts to regulate civil society but does not itself specify the restrictive content of the 2025 draft.,The 2025 draft marks the third attempt to regulate social organisations under the premiership of KP Sharma Oli
ev_29a514363ea0,3 September 2025,Peoples' Review - Government intends to tighten NGOs (Sept 2025),"The Home Ministry unveiled a bill to amend and integrate NGO registration, regulation and management laws, proposing to dissolve the Social Welfare Council; the NGO Federation called the bill 'retrograde and cumbersome.'",https://peoplesreview.com.np/2025/09/03/government-intends-to-tighten-ngos/,supplementary,supported,True,True,"Institutional restructuring implies increased control but exact subcategory fit (e.g., formation vs governance) is ambiguous.",governance,unilateral_rule_making,partial,restrictive,appeal_and_judicial_review,0.6,"Consolidating multiple NGO laws and dissolving the independent Social Welfare Council in favor of Home Ministry control suggests centralized, unilateral regulatory restructuring.",proposes dissolving the Social Welfare Council (SWC) and replacing it with a new social welfare act under the Home Ministry
ev_ce00924a3d43,4 September 2025,CIVICUS Monitor - social media ban on 26 platforms (Sept 2025),"On 4 September 2025 the government ordered the Nepal Telecommunications Authority to block 26 unregistered social media platforms, precipitating the Gen Z protests.",https://monitor.civicus.org/explore/nepal-anti-corruption-protests-force-political-change-despite-violent-crackdown/,registry,supported,True,False,,governance,restricted_freedoms,exact,restrictive,appeal_and_judicial_review,0.75,Government-ordered blocking of unregistered platforms directly restricts communication and organizing freedoms relevant to civil society.,the government ordered the Nepal Telecommunications Authority to block 26 unregistered social
ev_9359df199216,8-12 September 2025,CIVICUS Monitor - deadly Gen Z protest crackdown (Sept 2025),"Police used lethal force against Gen Z protesters on 8-9 September 2025 following a social media ban, with at least 19 killed on the first day (rising to 76 total nationwide) and hundreds injured; PM Oli resigned and the ban was lifted.",https://monitor.civicus.org/explore/nepal-anti-corruption-protests-force-political-change-despite-violent-crackdown/,registry,supported,True,True,"General human rights violation during protests, not a direct NGO-specific restriction.",governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.6,"Deadly use of force against protesters reflects severe suppression of assembly/expression freedoms relevant to civic space, though not NGO-specific.","Police responded with water cannon, tear gas, rubber bullets and live ammunition, leaving at least nineteen dead and hundreds injured"
ev_c897eaf886d3,12 September 2025,CIVICUS Monitor - interim government under Sushila Karki formed (Sept 2025),"On 12 September 2025 an agreement was reached to dissolve parliament and swear in former Chief Justice Sushila Karki as interim Prime Minister, the first woman to hold the position, with fresh elections announced for 5 March 2026.",https://monitor.civicus.org/explore/nepal-anti-corruption-protests-force-political-change-despite-violent-crackdown/,registry,supported,True,True,Broad political transition; no direct link to a documented civic space restriction.,governance,other,outside_current_subcategories,contextual,none_identified,0.5,Describes a political leadership transition and election timeline without directly establishing effect on any specific NGO-related restriction.,swear in former Chief Justice Sushila Karki - the first woman to hold the position - as head of an interim government that would conduct fresh elections announced for 5th March 2026
ev_890b06b50e3c,September 2025,CIVICUS Monitor - draft NGO law concerns amid 2025 unrest,CIVICUS noted continued concerns around a social media bill and that a draft NGO law had raised concerns about increasing controls and burdensome requirements for civil society.,https://monitor.civicus.org/explore/nepal-anti-corruption-protests-force-political-change-despite-violent-crackdown/,registry,supported,True,True,Vague reference to 'controls and burdensome requirements' without specifying which taxonomy subcategory applies.,operations,other,outside_current_subcategories,restrictive,general_operating_licence_and_self_regulation,0.6,"CIVICUS notes the draft NGO law raises concerns about increasing controls and burdensome requirements, indicating potential new operational constraints, though the specific mechanism is unspecified.",a draft NGO law has raised concerns about increasing controls and burdensome requirements for civil society
ev_db7b3104b4f3,19 November 2025,HRW - Unlawful Use of Force During Gen Z Protest (Nov 2025),"Human Rights Watch found that on 8 September 2025 police indiscriminately fired on protesters for over three hours, killing 17 in Kathmandu, with dozens detained and some beaten; violence continued on 9 September including arson attacks.",https://monitor.civicus.org/explore/nepal-still-no-accountability-for-violent-crackdown-by-security-forces-as-civic-space-violations-persist-and-election-draws-near/,registry,supported,True,True,Concerns general protest violence rather than an NGO-specific restriction.,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.6,HRW documentation of indiscriminate police firing on protesters indicates severe restriction of assembly/expression rights affecting civic actors' safety.,police indiscriminately fired on protesters multiple times over three hours
ev_defa370070da,December 2025,CIVICUS Monitor - Amnesty International report on unlawful killings (Dec 2025),"Amnesty International's December 2025 briefing found widespread failings by Nepal's law enforcement during the September protests, documenting unlawful killings and excessive/lethal force including live ammunition against largely peaceful protesters.",https://monitor.civicus.org/explore/nepal-still-no-accountability-for-violent-crackdown-by-security-forces-as-civic-space-violations-persist-and-election-draws-near/,registry,supported,True,False,,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.75,"Documented unlawful killings and excessive/lethal force against peaceful protesters constitutes a severe restriction on freedom of assembly/expression, undermining the protective function of judicial accountability.","widespread failings by Nepal's law enforcement agencies in policing September's protest that resulted in unlawful killings, unnecessary and excessive use of force"
ev_bff9337bdf98,21 January 2026,CIVICUS Monitor - Nepal UN Human Rights Council review (Jan 2026),"On 21 January 2026 Nepal's human rights record was reviewed at the UN Human Rights Council, with states recommending a safe environment for expression, ensuring the constitutional right to assembly, and accountability for protest-related violence.",https://monitor.civicus.org/explore/nepal-still-no-accountability-for-violent-crackdown-by-security-forces-as-civic-space-violations-persist-and-election-draws-near/,registry,supported,True,True,Recommendation-based evidence; interpretive judgment needed on whether it signals future restriction or protection.,governance,restricted_freedoms,partial,contextual,appeal_and_judicial_review,0.6,International recommendations urging protection of assembly rights indicate ongoing concern about restrictions but do not themselves establish a restrictive or permissive change in law.,"recommended to ensure the constitutional right to peaceful assembly, refrain from excessive use of force by security agencies"
ev_d3a416f139a2,4 February 2026,CIVICUS Monitor - HRW annual report on Nepal (Feb 2026),Human Rights Watch's annual report (Feb 2026) highlighted documented police use of excessive and lethal force during 2025 protests and noted that transitional justice progress stalled after victims' groups rejected commissioners as unqualified.,https://monitor.civicus.org/explore/nepal-still-no-accountability-for-violent-crackdown-by-security-forces-as-civic-space-violations-persist-and-election-draws-near/,registry,supported,True,False,,governance,restricted_freedoms,partial,restrictive,appeal_and_judicial_review,0.75,Documented police use of excessive/lethal force against protesters constitutes a restriction on freedom of assembly.,documented police use of excessive and lethal force during protests
ev_d3a416f139a2,4 February 2026,CIVICUS Monitor - HRW annual report on Nepal (Feb 2026),Human Rights Watch's annual report (Feb 2026) highlighted documented police use of excessive and lethal force during 2025 protests and noted that transitional justice progress stalled after victims' groups rejected commissioners as unqualified.,https://monitor.civicus.org/explore/nepal-still-no-accountability-for-violent-crackdown-by-security-forces-as-civic-space-violations-persist-and-election-draws-near/,registry,supported,True,False,,governance,loss_of_appeal_rights,partial,restrictive,appeal_and_judicial_review,0.7,Transitional justice progress stalling after victims' groups rejected unqualified commissioners represents a setback to judicial accountability mechanisms.,progress on justice for human rights violations committed during the 1996-2006 conflict stalled after victims' groups rejected the commissioners appointed
ev_c9f5f6799596,January-February 2026,CIVICUS Monitor - Karki Commission of inquiry term extended (Jan-Feb 2026),"The judicial commission of inquiry chaired by Gauri Bahadur Karki, investigating 76 protest-related deaths, had its term extended by Cabinet on 22 January 2026 and again on 9 February 2026, partly over fears its findings could disrupt the election.",https://monitor.civicus.org/explore/nepal-still-no-accountability-for-violent-crackdown-by-security-forces-as-civic-space-violations-persist-and-election-draws-near/,registry,supported,True,False,,governance,loss_of_appeal_rights,partial,restrictive,appeal_and_judicial_review,0.7,"Repeated extension of the inquiry's deadline, motivated by political concerns rather than investigative need, delays accountability and access to remedy for victims.","its deadline was extended for another 25 days beyond election day, for fear that its findings could be opposed by security forces or political actors and cause ""friction"""
ev_4c39e59d3828,3-6 February 2026,Kathmandu Post / Eu SEE - Social Media Bill formally withdrawn (Feb 2026),The Karki-led interim government moved on 3-6 February 2026 to withdraw the controversial 2025 Social Media Bill from the National Assembly amid sustained civil society criticism that its provisions were overly broad.,https://eusee.hivos.org/alert/nepal-withdraws-ban-of-26-major-social-media-platforms/,supplementary,supported,True,False,,governance,restricted_freedoms,partial,permissive,appeal_and_judicial_review,0.8,Formal withdrawal of a bill that would have restricted social media platforms reverses a previously proposed restriction on freedom of expression.,The government of Nepal has moved to withdraw the controversial Social Media Bill from the National Assembly... reverses a proposal introduced by the previous government
ev_a15604f72443,5 March 2026,CIVICUS Monitor - RSP wins general election (March 2026),On 5 March 2026 the Rastriya Swatantra Party led by Balendra Shah won a clear majority (182 of 275 seats) in Nepal's snap general election held six months after the September 2025 protests toppled the government.,https://monitor.civicus.org/explore/nepal-press-freedom-at-risk-under-new-government-while-still-lack-of-accountability-for-protest-violations/,registry,supported,False,False,General political/election news without a direct link to a specific civic-space restriction or protection.,,,,,,,,
ev_a096cededdbf,27-28 March 2026,CIVICUS Monitor - former PM Oli and Home Minister arrested (March 2026),"Following Balendra Shah's swearing-in as PM on 27 March 2026, former PM K.P. Sharma Oli and former Home Minister Ramesh Lekhak were arrested over the deadly police crackdown on the September 2025 protests, per commission recommendations.",https://monitor.civicus.org/explore/nepal-press-freedom-at-risk-under-new-government-while-still-lack-of-accountability-for-protest-violations/,registry,supported,True,False,,governance,loss_of_appeal_rights,partial,permissive,appeal_and_judicial_review,0.75,"Arrests of senior officials following commission findings demonstrate the judicial accountability mechanism functioning, reversing prior impunity concerns.","former prime minister K.P. Sharma Oli was arrested the day after Shah's swearing-in ceremony, following recommendations from a commission set up to investigate the deadly police crackdown"
ev_65eb5d2ce92c,8 March 2026,CIVICUS Monitor - Karki Commission report findings (March 2026),"The Karki Commission's report, submitted 8 March 2026, confirmed 76 deaths (42 from police firing) and recommended criminal proceedings against ex-PM Oli, Home Minister Lekhak, and IGP Khapung for negligence, plus victim compensation and police reforms.",https://monitor.civicus.org/explore/nepal-press-freedom-at-risk-under-new-government-while-still-lack-of-accountability-for-protest-violations/,registry,supported,True,False,,governance,loss_of_appeal_rights,partial,permissive,appeal_and_judicial_review,0.75,"The commission's formal findings and recommendation of criminal proceedings against implicated officials represent an active judicial accountability process, supporting the appeal/judicial review barrier.","It recommended criminal proceedings against then-Prime Minister KP Sharma Oli, Home Minister Ramesh Lekhak, and IGP Chandra Kuber Khapung for negligence leading to deaths."
ev_f40dca6b5147,27 May 2026,CIVICUS Monitor - NHRC recommendations on protest investigation (May 2026),"On 27 May 2026 Nepal's National Human Rights Commission publicised recommendations including investigating Karki Commission chair for social media posts, and probing 17 sitting RSP MPs regarding the September 2025 unrest.",https://monitor.civicus.org/explore/nepal-press-freedom-at-risk-under-new-government-while-still-lack-of-accountability-for-protest-violations/,registry,supported,False,False,"Concerns accountability for protest violence and MP conduct; no direct connection to NGO formation, governance, operations, resources, or reputational restrictions on civil society.",,,,,,,,
